station,valid,feel,p01m
06C,2018-08-26 13:55,74.87,0.00
06C,2018-08-26 14:55,78.19,0.00
06C,2018-08-26 15:55,87.68,0.00
06C,2018-08-26 16:55,92.89,0.00
06C,2018-08-26 17:55,95.55,0.00
06C,2018-08-26 18:55,98.78,0.00
06C,2018-08-26 19:55,100.57,0.00
06C,2018-08-26 20:55,99.56,0.00
06C,2018-08-26 21:55,96.33,0.00
06C,2018-08-26 22:55,95.55,0.00
06C,2018-08-26 23:55,91.48,0.00
06C,2018-08-27 00:55,89.76,0.00
06C,2018-08-27 01:55,89.21,0.00
06C,2018-08-27 02:55,89.21,0.00
06C,2018-08-27 03:55,87.92,0.00
06C,2018-08-27 04:55,85.45,0.00
06C,2018-08-27 05:55,83.24,0.00
06C,2018-08-27 06:55,82.90,0.00
06C,2018-08-27 07:55,82.33,0.00
06C,2018-08-27 08:55,81.13,0.00
06C,2018-08-27 09:55,78.35,0.00
06C,2018-08-27 10:55,76.90,0.00
06C,2018-08-27 11:55,76.07,0.00
06C,2018-08-27 12:55,78.45,0.00
06C,2018-08-27 13:55,78.59,0.00
06C,2018-08-27 14:55,85.14,0.00
06C,2018-08-27 15:55,89.14,0.00
06C,2018-08-27 16:55,90.80,0.00
06C,2018-08-27 17:55,89.83,0.00
06C,2018-08-27 18:55,96.58,0.00
06C,2018-08-27 19:55,94.09,0.00
06C,2018-08-27 20:55,92.65,0.00
06C,2018-08-27 21:55,92.81,0.00
06C,2018-08-27 22:55,93.62,0.00
06C,2018-08-27 23:55,91.29,0.00
06C,2018-08-28 00:55,89.50,0.00
06C,2018-08-28 01:55,87.62,0.00
06C,2018-08-28 02:55,85.75,0.00
06C,2018-08-28 03:55,84.51,0.00
06C,2018-08-28 04:55,83.28,0.00
06C,2018-08-28 05:55,82.36,0.00
06C,2018-08-28 06:55,80.77,0.00
06C,2018-08-28 07:55,78.59,0.00
06C,2018-08-28 08:55,78.23,0.00
06C,2018-08-28 09:55,78.20,0.00
06C,2018-08-28 10:55,77.55,0.00
06C,2018-08-28 11:55,77.55,0.00
06C,2018-08-28 12:55,72.64,0.00
06C,2018-08-28 13:55,69.30,1.52
06C,2018-08-28 14:55,70.00,0.00
06C,2018-08-28 15:55,78.70,0.00
06C,2018-08-28 16:55,89.64,0.00
06C,2018-08-28 17:55,92.24,0.00
06C,2018-08-28 18:55,89.77,0.00
06C,2018-08-28 19:55,93.49,0.00
06C,2018-08-28 20:55,90.82,0.00
06C,2018-08-28 21:55,88.58,0.00
06C,2018-08-28 22:55,80.33,0.00
06C,2018-08-28 23:55,75.60,0.00
06C,2018-08-29 00:55,75.20,0.00
06C,2018-08-29 01:55,76.09,0.00
06C,2018-08-29 02:55,66.70,11.68
06C,2018-08-29 03:55,66.20,2.54
06C,2018-08-29 04:55,66.40,4.06
06C,2018-08-29 05:55,66.40,5.33
06C,2018-08-29 06:55,66.40,0.51
06C,2018-08-29 07:55,67.10,2.03
06C,2018-08-29 08:55,67.50,3.81
06C,2018-08-29 09:55,67.50,2.79
06C,2018-08-29 10:55,67.30,0.00
06C,2018-08-29 11:55,66.70,0.00
06C,2018-08-29 12:55,67.10,0.00
06C,2018-08-29 13:55,68.70,0.00
06C,2018-08-29 14:55,71.60,0.00
06C,2018-08-29 15:55,65.30,0.25
06C,2018-08-29 16:55,65.50,0.00
06C,2018-08-29 17:55,69.10,0.00
06C,2018-08-29 18:55,68.20,0.00
06C,2018-08-29 19:55,70.50,0.00
06C,2018-08-29 20:55,71.80,0.00
06C,2018-08-29 21:55,70.70,0.00
06C,2018-08-29 22:55,69.40,0.00
06C,2018-08-29 23:55,68.50,0.00
06C,2018-08-30 00:55,66.40,0.00
06C,2018-08-30 01:55,64.80,0.00
06C,2018-08-30 02:55,64.00,0.00
06C,2018-08-30 03:55,63.00,0.00
06C,2018-08-30 04:55,63.00,0.00
06C,2018-08-30 05:55,62.60,0.00
06C,2018-08-30 06:55,61.70,0.00
06C,2018-08-30 07:55,58.30,0.00
06C,2018-08-30 08:55,57.40,0.00
06C,2018-08-30 09:55,56.10,0.00
06C,2018-08-30 10:55,56.70,0.00
06C,2018-08-30 11:55,57.60,0.00
